travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6166666666666667,0,Human,0,0,0,0,-0.6166666666666667,"-0.6166666666666665,-0.4540436765058795"
0.6666666666666666,20,Human,0,0,0,0,-0.6666666666666666,"-0.6666666666666664,-0.4540436765058795"
0.6833333333333333,21,Human,0,0,0,0,-0.6833333333333333,"-0.6833333333333335,-0.4540436765058795"
0.7,1,AV,0,0,0,1,-0.7,"0,0"
0.7166666666666667,2,AV,0,0,0,2,-0.7166666666666667,"0,0"
0.7666666666666667,3,Human,0,0,0,3,-0.7666666666666667,"-0.7666666666666666,-0.4540436765058795"
0.7833333333333333,4,Human,0,0,0,4,-0.7833333333333333,"-0.7828642083721493,-0.4540436765058795"
1.25,5,AV,1,0,0,5,-1.25,"0,0"
0.8166666666666667,6,AV,0,0,0,6,-0.8166666666666667,"0,0"
0.8666666666666667,7,Human,0,0,0,7,-0.8666666666666667,"-0.8666666666666667,-0.4540436765058795"
0.8833333333333333,8,AV,0,0,0,8,-0.8833333333333333,"0,0"
0.8833333333333333,9,Human,0,0,0,9,-0.8833333333333333,"-0.8828642086666231,-0.4540436765058795"
0.9,10,Human,0,0,0,10,-0.9,"-0.8995308753332903,-0.4540436765058795"
0.9166666666666666,11,AV,0,0,0,11,-0.9166666666666666,"0,0"
1.4166666666666667,12,Human,0,0,0,12,-1.4166666666666667,"-1.4209483275092942,-0.4540436765058795"
1.45,13,AV,0,0,0,13,-1.45,"0,0"
1.4666666666666666,14,Human,0,0,0,14,-1.4666666666666666,"-1.4659255992810114,-0.4540436765058795"
1.9666666666666666,15,AV,1,0,0,15,-1.9666666666666666,"0,0"
1.9833333333333334,16,AV,1,0,0,16,-1.9833333333333334,"0,0"
2.0,17,AV,1,0,0,17,-2.0,"0,0"
2.033333333333333,18,AV,1,0,0,18,-2.033333333333333,"0,0"
1.4,19,Human,0,0,0,19,-1.4,"-1.4417141187353988,-0.4540436765058795"
