travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.8833333333333333,9,AV,1,0,0,130,-0.8833333333333333,"0,0"
0.48333333333333334,2,AV,0,0,0,125,-0.48333333333333334,"0,0"
0.8833333333333333,8,AV,1,0,0,82,-0.8833333333333333,"0,0"
0.95,7,AV,1,0,0,131,-0.95,"0,0"
1.0,10,AV,0,0,0,92,-1.0,"0,0"
1.0,3,AV,0,0,0,143,-1.0,"0,0"
0.75,6,AV,0,0,0,159,-0.75,"0,0"
1.2333333333333334,4,AV,0,0,0,125,-1.2333333333333334,"0,0"
1.0,5,AV,0,0,0,141,-1.0,"0,0"
0.8833333333333333,14,AV,1,0,0,72,-0.8833333333333333,"0,0"
0.7666666666666667,0,Human,0,0,0,56,-0.7666666666666667,"-0.2217422606191504,-0.4540436765058795"
0.8666666666666667,1,Human,0,0,0,48,-0.8666666666666667,"-0.2217422606191504,-0.4540436765058795"
0.85,11,Human,0,0,0,47,-0.85,"-0.2217422606191504,-0.4540436765058795"
0.7666666666666667,12,Human,0,0,0,58,-0.7666666666666667,"-0.2217422606191504,-0.4540436765058795"
1.2166666666666666,13,Human,0,0,0,77,-1.2166666666666666,"-0.2217422606191504,-0.4540436765058795"
